Addr,Lat,Lon
"1917-10-28 00:00:00,Benson Cross Road,Benson town,Bangalore,Karnataka,560046",12.9975397,77.6033663
"No 228,1st E Cross HRBR 3rd Block Kalyan Nagar,nan,Bengaluru,Karnataka,560084",13.0165834,77.6323856
"No 335,16th A Main 36 Cross,nan,Bengaluru,Karnataka,560041",12.923975,77.588419
"No 803 Embassy Orchid,8th Main road , Sadashivnagar,nan,Bengaluru,Karnataka,560080",13.009644,77.5777693
"No 1217,18th Main, 20th B cross A- Block Sahakaranagar,nan,Bengaluru,Karnataka,560092",13.0663965,77.5835814
"No 1217,18th Main, 20th B cross A- Block Sahakaranagar,nan,Bengaluru,Karnataka,560092",13.0663965,77.5835814
"No 64,1st Cross, 1st Main road Raja Reddy Layout,nan,Bengaluru,Karnataka,560073",12.9879565,77.5374955
"No 43,2nd Main Road Bethel Nagar L/O,nan,Bengaluru,Karnataka,560036",12.930337,77.5781141
"No 202,NR Springwood 10th Cross Road MCECHS Layout,RK Hegde Nagar,Bengaluru,Karnataka,560077",13.0667074,77.6252317
"No 114/1,OYO townhouse 242 , Kodathi,nan,Bengaluru,Karnataka,560035",12.8977229,77.7173754
"Bl 5,Prutvi Royal MCA Layout Kalena Agrahara,nan,Bengaluru,Karnataka,560076",12.8627994,77.5943562
"17/2,17/3,17/6,Horamavu,nan,Bengaluru,Karnataka,560016",13.0225858,77.6529585
"No 410,S.G Enclave New Rajanna Layout,Horamavu Agara,Bengaluru,Karnataka,560043",13.0399135,77.6563621
"Old 638 New 125,1st Cross,2nd Main Prakash Nagar,nan,Bengaluru,Karnataka,560021",12.9884832,77.559845
"Old 638 New 125,1st Cross,2nd Main Prakash Nagar,nan,Bengaluru,Karnataka,560021",12.9884832,77.559845
"Old 638 New 125,1st Cross,2nd Main Prakash Nagar,nan,Bengaluru,Karnataka,560021",12.9884832,77.559845
"No 14,Cambridge Road Ulsoor,nan,Bengaluru,Karnataka,560008",12.9747099,77.6256259
"No 14,Cambridge Road Ulsoor,nan,Bengaluru,Karnataka,560008",12.9747099,77.6256259
"Flat 101,A.H Residency Thomas Layout,Hadosiddapura,Bengaluru,Karnataka,560035",12.8983039,77.7021609
"Oakwood Residency No 62,Foram value Whitefield road,Whitefield,Bengaluru,Karnataka,560066",12.9596641,77.7478573
"Oakwood Residency No 62,Foram value Whitefield road,Whitefield,Bengaluru,Karnataka,560066",12.9596641,77.7478573
"B306,Paranjape Windfield,Yemlur Road,Bangalore,Karnataka,560037",12.9477003,77.6731896
"Hotel Alofat,KadubesanaHalli Outer Ring Road,nan,Bangalore,Karnataka,560103",12.9371619,77.6951926
"Hotel Alofat,KadubesanaHalli Outer Ring Road,nan,Bangalore,Karnataka,560103",12.9371619,77.6951926
"Hotel Alofat,KadubesanaHalli Outer Ring Road,nan,Bangalore,Karnataka,560103",12.9371619,77.6951926
"27./2,RSRT Colony,Hagadur White Field,Bangalore,Karnataka,560066",12.9661204,77.7570099
"nan,Gottikere,Shivajinagar,Bangalore,Karnataka,nan",12.9850244,77.6056939
